title	country	year	genre	publisher	director	producer	episodes	actors	info	reception	awards
Aoi	Japanese	2000		NHK	Akihiko Shigemitsu, Mitsunobu Ozaki, Jō Satō, Kazutaka Watanabe	Runtime Minutes	49		is a 2000 Japanese historical drama television series and the 39th NHK taiga drama. The series respectively stars Masahiko Tsugawa, Toshiyuki Nishida, and Onoe Tatsunosuke II as the first three Tokugawa shōguns. It aired from January 9 to December 17, 2000, and ran for a total of 49 episodes. Aoi is the first taiga drama to be fully filmed in high definition.		
Crime Scene	South Korean	2014	Variety   Mystery   Crime	JTBC, Netflix, TVING	Yoon Hyun Joon		57		Crime Scene () is a South Korean variety program with Hong Jin-ho, Park Ji-yoon, NS Yoon-G, Jun Hyun-moo, Lim Bang-geul, and Kang Yong-suk as the cast for the first season. The first season consists of 10 episodes and aired on JTBC from May 10 to July 12, 2014. Hong Jin-ho and Park Ji-yoon returned for the second season. Together with new members Jang Jin, Jang Dong-min and Hani, the five of them formed the cast for the second season. The second season was aired on Wednesdays at 23:00 (KST) from...		
Welcome Back to School	South Korean	2014	Variety	JTBC		Kim No Eun, Choi Chang Soo, Jung Seung Il, Jung Jae Hoon, Moon Min Jeong, Ko Hye Jin	68		Welcome Back to School () was a 2014 South Korean variety program where celebrities attended a selected high school as students for 3 days. It starred M.I.B's Kang-nam and Kim Jeong-hoon as fixed members. Despite a few changes in its time slot over the show's history, it aired on JTBC on Tuesdays at 9:30 pm KST from July 12, 2014 to November 3, 2015.		
Witch Hunt	South Korean	2013	Talk-variety	JTBC	Shin Dong Yup Shin Dong Yup, Sung Si Kyung, Heo Ji Woong, Yoo Se Yoon	Cinematography	123		Witch Hunt () is a 2013 South Korean variety talk show starring Shin Dong-yup, Sung Si-kyung, Heo Ji-woong, Yoo Se-yoon that first aired on August 2, 2013. It airs on JTBC every Friday at 23:00. This show ended on December 28, 2015.		
Murphy's Law of Love	Taiwanese	2015	Romance film		Ye Tian Lun, Ltsmall, Gt, Lt, Small, Li Qing Rong, Hao Xin Xiang	An Jing Hong	19		Murphy's Law of Love () is a 2015 Taiwanese romantic comedy television series produced by Sanlih E-Television. Starring Danson Tang, Ivelyn Lee, Jolin Chien and Jenna Wang as the main cast. The Chinese title literally translates to "Perhaps, This is Called Love". Filming began on February 24, 2015, the drama will be filmed as it airs. First original broadcast begins March 20, 2015 on SETTV channel airing on Fridays from 10:00-11:30 pm.		
I Supermodel	Chinese	2015		iQiyi			36		I Supermodel () is a Chinese reality series and modeling competition. The show places a group of fourteen female contestants who are selected by a mentor to compete in teams of seven. The goal of the show is to immerse the finalists into the world of high fashion through several editorial shoots and high paced challenges, finding the perfect supermodel. Filming for the show takes place in an overseas location that is unique to each season. The first season of the show was filmed in Melbourne, Au...		
Korea Sings	South Korean	1980	Music	KBS 1TV		Executiveproducer	2		Korea Sings (), commonly known in English as National Singing Contest, is a South Korean musical TV program. It airs live on KBS 1TV on Sunday at 12:10 beginning November 9, 1980. For South Korean holidays, the show has been hosted overseas. In 2003, the show was hosted in Pyongyang during National Liberation Day of Korea.		
Tiger Mum	Singaporean	2015	Drama   Family	Mediacorp Channel 8	Png Keh Hock, Oh Liang Cai	Jasmine Woo	20		Tiger Mum () is a Singaporean family drama produced and telecast on MediaCorp Channel 8. The drama began production in November 2014. The series ran from 9 April to 6 May 2015. It stars Yao Wenlong, Huang Biren, Julie Tan, Ian Fang, Bonnie Loo, Aloysius Pang and Jeffrey Xu. This is the second drama appearance of veteran actress Huang Biren since her return to the entertainment industry after a seven-year hiatus. Huang plays the title character in the show. a controlling and demanding tiger mothe...		
Dramabeans	South Korean								Dramabeans is an English-language website that features in-depth reviews and analyses of Korean dramas, and also serves as a fan forum for those programs featured. It was founded in 2007 by the blogger Javabeans.		
The Crossing Hero	Taiwanese	2015	Action thriller, Fantasy, Romance		Zhou Xiao Peng	Jiro Wang	60	Jiro Wang, Lorene Ren, Larisa Bakurova	The Crossing Hero () is 2015 Taiwanese fantasy, magic realist, time travel idol-drama starring Jiro Wang, Bruce Xie, Hu Yang, Nikki Hsieh, Lorene Ren, Edison Wang, and Jeff Zhang, amongst others. The series also represents Taiwanese singer and actor Jiro Wang's production debut. An original web-based series jointly produced by Hairun Media and Tencent Video,	The series has generated a buzz online prior to airtime: as of 18 March 2015, the topic #超级大英雄# (The Crossing Hero) has already been read 14.29 million times, with more than 39,000 people participating in the discussion on the popular Chinese micro-blogging site, Sina Weibo, with hopes of becoming one of the most popular dramas of the year.&lt;ref&gt;Su, Shan. &quot;Jiro Wang risks life filming The Crossing Hero at no pay, narrowly escapes injury.&quot; Xinhua News Agency (19 Mar. 2015). Retriev...	
Extreme Series: Kaya Mo Ba 'To?	Philippine	2015	Reality television		Ivan Dedicatoria		66		Extreme Series: Kaya Mo Ba 'To? (English: Extreme Series: Can You Do This?) is a Philippine television reality competition show broadcast by TV5. Hosted by Derek Ramsay, it aired from February 2 to June 20, 2015, and was replaced by KISPinoy: The K-Pop Philippination.		
Hero of the Times	Singaporean	1999	Wuxia		Hu Mingkai	Yuan Zaixian	30	Vincent Zhao, Leanne Liu, Vincent Ng, Yvonne Lim, Ix Shen, May Phua, Rayson Tan, Li Wenhai, Chen Guohua, Xiang Yun, Lin Meijiao, Elvis Tsui, Chen Wencong, Dai Peng, Chunyu Shanshan, Shirley He, Cai Yiwei, Wang Huichun, Huang Chung Kun, Qian Zhigang	Hero of the Times is a Singaporean-Taiwanese wuxia television series based on legends about Fong Sai-yuk (Mandarin: Fang Shiyu), a Chinese folk hero and martial artist who lived during the Qing dynasty. It was co-produced by the Television Corporation of Singapore and Taiwan's China Television, directed by Hu Mingkai, and starred Chinese actor Vincent Zhao as Fang Shiyu. It was first aired in Singapore on TCS Eighth Frequency (now MediaCorp Channel 8) from late 1999 to early 2000.		
House of Bluebird	South Korean	2015	Comedy film, Domestic drama, Drama film, Romance film		Ji Byung Hyun	Im Se Joon	50		House of Bluebird () is a 2015 South Korean television series starring Lee Joon-hyuk, Chae Soo-bin, Lee Sang-yeob and Kyung Soo-jin. It aired on KBS2 from February 25 to August 9, 2015, on Saturdays and Sundays at 19:55 (KST) for 50 episodes.		
Vampire Heaven	Japanese	2013	Romantic comedy		Natsuki Seta, You Kawahara	Sayaka Iezumi, Juri Takahashi, Hisao Yaguchi, You Kawahara	12	Aya Ōmasa, Tsubasa Honda, Yūta Hiraoka, Satoshi Tomiura, Anri Okamoto, Touko Miura, Haruka Kurosawa, Noriko Eguchi, Eisuke Sasai, Hidekazu Nagae, Asaya Kimijima	is a Japanese television drama series that aired on TV Tokyo from 12 April 2013 to 5 July 2013.		
Smooth Talker	Hong Kong	2015	Comedy, Modern	TVB Jade	Joe Ma Joe Ma, Kate Tsui, Johnson Lee, Elena Kong, Tracy Chu	Lam Chi Wah	20		Smooth Talker (; literally "Harmony Is Precious") is a 2015 Hong Kong romantic comedy television drama created and produced by TVB, starring Joe Ma and Kate Tsui as the main leads, with Johnson Lee, Elena Kong, Tommy Wong and Tracy Chu in main supporting roles. Filming took place from Augusts till November 2014. The drama aired on Hong Kong's Jade and HD Jade channels March 30 till April 24, 2015 every Monday through Friday during its 9:30-10:30 pm timeslot with a total of 20 episodes.		
Splendid Politics	South Korean	2015	Political film, Romance film, Sageuk		Kim Sang Ho Choi Jung Kyu	Lee Chang Sub Yoo Hyeon Jong Park Bo Kyung	50		Splendid Politics () is a 2015 South Korean television series starring Cha Seung-won, Lee Yeon-hee, Kim Jaewon, Seo Kang-joon, Han Joo-wan and Jo Sung-ha. It aired on MBC from April 13 to September 29, 2015 on Mondays and Tuesdays at 22:00 for 50 episodes. The Korean title Hwajeong is a shortened version of Hwaryeohan Jeongchi (literally "Splendid Politics").		
Ando-Roid	Japanese	2013	Sci-Fi, romance	Tokyo Broadcasting System	Airdate Viewers Viewerstratings Episodes Episode List	Hiroki Ueda, Toshio Tsuboi	10	Takuya Kimura, Ko Shibasaki, Yuko Oshima, Tsubasa Honda, Kenta Kiritani, Sayaka Yamaguchi, Jesse, Mizuki Yamamoto, Dai Ikeda, Yōjin Hino, Kenichi Endō, Mirei Kiritani, Yūta Hiraoka, Yūko Natori	Ando-Roid, stylized as , is a Japanese television drama series which premiered on TBS on 13 October 2013. Takuya Kimura is the lead actor, and he plays dual role in this drama. The 1st episode is 69 minutes, 2nd episode is 64 minutes long.		
Beating Again	South Korean	2015	Comedy film, Drama film, Romance film		Ji Young Soo	Ra Ha Na, Yeon Ju Hyeong, Jo Gwang Hwi	16	Jung Kyung Ho, Kim So Yeon, Jung Da Bin, Yoon Hyun Min, Jin Goo, Gong Hyun Joo, Lee Si Eon, Park Yeong Gyu, Ahn Suk Hwan, Jo Eun Ji, Jung Yoo Min, Kim Hee Jung, Jang Tae Sung, Ricky Kim, Lee Tae Woo, Nam Myung Ryul, Kim Jung Seok, Lee Soo Ji, Im Sung Eun	Beating Again () is a 2015 South Korean television series starring Jung Kyung-ho, Kim So-yeon, and Yoon Hyun-min. It aired on JTBC from April 3 to May 23, 2015 on Fridays and Saturdays at 21:45 (KST) for 16 episodes.		
Romantic Repertoire	Hong Kong	2015	Dramatic programming	TVB Jade	Chan Suen Guan, Cheung Wing Ho	Lee Yim Fong	20		Romantic Repertoire (; literally "Opera Rouge") is a 2015 Hong Kong romantic comedy television drama created and produced by TVB, starring Louise Lee, Moses Chan, Evergreen Mak, Joyce Koi Katy Kung, and Jason Chan. Filming took place from June till September 2014. The drama aired on Hong Kong's Jade and HD Jade channels March 30 till April 24, 2015 every Monday through Friday during its 8:30-9:30 pm timeslot with a total of 20 episodes. Romantic Repertoire is Moses Chan and Joyce Koi's first col...		
Mare	Japanese	2015	Japanese television drama		Kazuki Watanabe, Masae Ichiki, Takegorō Nishimura, Tsuyoshi Kawakami, Naoki Murahashi, Keita Hosaka	Tomoki Hase	156	Tao Tsuchiya, Yō Ōizumi, Takako Tokiwa, Shōno Hayama, Min Tanaka, Yūko Tanaka, Atsuo Nakamura, Itsuji Itao, Kento Yamazaki, Eisuke Sasai, Sawa Suzuki, Shoko Nakagawa, Fumika Shimizu, Guts Ishimatsu, Yuta Takahata, Muga Tsukaji, Eri Fuse, Seiji Rokkaku, Mugi Kadowaki, Daichi Watanabe	is a Japanese television drama series, the 92nd Asadora (morning drama) that was broadcast daily on NHK from March 30, 2015, until September 26, 2015, the same as 2009's Asadora series Tsubasa. It is about a young woman from the Noto Peninsula who wants to become a patissier. Tao Tsuchiya, who appeared in the Asadora Hanako to Anne, was cast in the lead role after an audition of 2,020 women.		
Yamegoku: Yakuza Yamete Itadakimasu	Japanese	2015	Drama	Tokyo Broadcasting System	Yukihiko Tsutsumi	Hiroki Ueda Yūsuke Itō Chiaki Kusu	10	Yuko Oshima, Kazuki Kitamura, Ryo Katsuji, Tsubasa Honda, Tetsushi Tanaka, Ken Shōnozaki, Kouki Okada, Sayaka Yamaguchi, Mio Miyatake, Emiko Matsuoka, Erena Kamata, Makiya Yamaguchi, Kim Sungrak, Tadashi Sakata, Yūko Natori, Kenichi Endō	is a Japanese television drama series that premiered on TBS on 16 April 2015. This is Yuko Oshima's first time starring in the lead role of a serial drama.		
Mao Zedong	Chinese	2013	Epic biographical, historical		Gao Xixi		100		Mao Zedong () is a 2013 Chinese epic biographical television series which dramatises the life of Mao Zedong, former chairman of the Chinese Communist Party and the main founder of the People's Republic of China. It was directed by Gao Xixi, and starred Tang Guoqiang, Liu Jing, Li Bowen, Guo Lianwen, and Wang Wufu. The television series was released in 2013 to mark the 120th anniversary of the birth of Mao Zedong.		
Night Shift	Hong Kong	2015	Crime fiction		Jimmy Luk		11		Night Shift (), is a 2015 crime thriller television series produced by Hong Kong Television Network. The entire series was filmed at night.		
Please Take Care of My Refrigerator	South Korean	2014	Cooking, Variety	JTBC	Lee Chang Woo, Jeon Hwi Je, Park Beom Joon, Kang Hong Soo, Lee Chae Rin, Kim Ji Seon		302		Please Take Care of My Refrigerator (), also known as Chef & My Fridge, is a South Korean cooking-variety program starring various chefs and celebrity guests. It airs on JTBC on Mondays at 21:30 (KST) beginning November 17, 2014. Since October 1, 2018, the program airs late at 23:00 (KST) on the same day, due to giving it regular broadcast timeline to JTBC's dramas. The last episode of this program aired on November 25, 2019, after five years of broadcast. The show was rebooted on both televisio...		
Category:South Korean fantasy television series	South Korean								Category:South Korean fantasy television series 14 46293263 1297126675 1267337451 2025-06-24T08:16:39Z Muatsem90 39233586 1297126675 wikitext text/x-wiki Category:South Korean television series by genre Category:Fantasy television series by country Television series Fantasy 7aeirppvi6ht7k627rr46hf9rlhw6o0		
The Lucky Stars	Chinese				Liu Zhi	Li Mi	30	Christopher Lee, Chang Shih, Bobby Au Yeung, Fann Wong, Xu Zheng, Kou Zhenhai, Ning Jing	The Lucky Stars is a 2005 Chinese fantasy/costume comedy-drama TV series on Fu Lu Shou, 3 Chinese mythology deities or stars. It was directed by Liu Zhi and produced by Li Mi and Beijing-based NMG Pictures. The show stars Malaysian actor Christopher Lee, Taiwanese actor Chang Shih and Hong Kong actor Bobby Au-yeung in the lead roles, while Singaporean actress Fann Wong and mainland China actors Xu Zheng, Kou Zhenhai and Ning Jing round out the main cast. It was first broadcast on Singapore's Med...		
The Lover	South Korean	2015	Comedy film, Romance film	Mnet	Kim Tae Eun, Jung Min Seok	Shim Hyung Gwan	12	Oh Jung Se, Ryu Hyun Kyung, Jung Joon Young, Choi Yeo Jin, Park Jong Hwan, Takuya Terada, Lee Jae Joon, Kang Kyun Sung, Bae Woo Hee, Ha Eun Seol, Sung Kyu Chan	The Lover () is a 2015 South Korean television series starring Oh Jung-se, Ryu Hyun-kyung, Jung Joon-young, Choi Yeo-jin, Park Jong-hwan, Ha Eun-seol, Takuya Terada and Lee Jae-joon. It aired on Mnet from April 2 to June 25, 2015 on Thursdays at 23:00 for 12 episodes.		
Someone like You	Taiwanese	2015	Comedy, Melodrama, Romance film		Chen Rong Hui	Fang Xiao Ren, Rong Jun Yi	20		Someone Like You () is a 2015 Taiwanese romantic-comedy melodrama television series produced by Sanlih E-Television, starring Kingone Wang and Lorene Ren with Sean Lee, Nita Lei and William Liao of Lollipop F. The original title literally translates to "Hearing Happiness". Filming began on December 21, 2014 and finished on May 19, 2015. The drama was filmed as it aired. First original broadcast began January 11, 2015 on TTV channel airing on Sunday nights from 10:00-11:30 pm. Final episode aired...		
The Missing	South Korean	2015	Action film, Mystery film, Police procedural, Thriller (genre)	OCN	Lee Seung Young	Park Ji Young, Park Seon Jin, Kim Geun Hong, Jung Se Ryeong	10		The Missing () is a 2015 South Korean television series starring Kim Kang-woo and Park Hee-soon. It aired on OCN on Saturdays at 23:00 for 10 episodes from March 28 to May 30, 2015.		
Who Are You: School 2015	South Korean	2015	Mystery film, Teen drama		Kim Seong Yoon Kim Seong Yoon	Lee Gun Joon, Yoon Jae Hyuk	16		Who Are You: School 2015 (; also known in Japan as Love Generation) is a 2015 South Korean television series starring Kim So-hyun, Nam Joo-hyuk, and Yook Sung-jae. It aired on KBS2 from April 27 to June 16, 2015, every Monday and Tuesday at 21:55 (KST) for 16 episodes. It is the sixth installment of KBS's School series which premiered in 1999. The final episode received a 8.2% nationwide ratings. It was well-received and popular overseas, it established a strong following among young viewers wor...		
